"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ddia__ryy: I don't have any argument over this man's achievement because he deserves it. I officially join his fandom. He's another IU…",FALSE,0,NA,2022-12-04 22:20:33,FALSE,NA,"1599529115883048960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","5avXCQFt98RUQOw",169,TRUE,FALSE,NA,NA
"RT @ASAPAMAJOEL_: Please retweet... 😫🙏🙏🙏#CasanovaOpenVerse @DJXCLUSIVE #casanovaopenversechallengle #MAMA2022 https://t.co/yVlegFlRBb",FALSE,0,NA,2022-12-04 22:12:33,FALSE,NA,"1599527103015227392",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TarabaTweeter",2,TRUE,FALSE,NA,NA
"RT @bibiIoops: only bibi can torture men and *accidentally* curse on national television #MAMA2022 https://t.co/8o8RmeV60B",FALSE,0,NA,2022-12-04 21:48:29,FALSE,NA,"1599521044301500416",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","hopewerse",3705,TRUE,FALSE,NA,NA
"RT @votingbrigade: 🏆| Congratulations @BTS_twt, for winning WORLDWIDE ICON OF THE YEAR AWARD (DAESANG) at #MAMA2022!

BTS 68TH DAESANG 👏💜
W…",FALSE,0,NA,2022-12-04 21:47:55,FALSE,NA,"1599520900797255680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mietanaka121",4951,TRUE,FALSE,NA,NA
"RT @votingbrigade: 🏆 | Congratulations PSY and SUGA from @bts_twt for winning ""Best Collaboration"" (That That) at #MAMA2022!",FALSE,0,NA,2022-12-04 21:44:55,FALSE,NA,"1599520149438345218",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mietanaka121",540,TRUE,FALSE,NA,NA
"RT @votingbrigade: 🏆 | Congratulations @bts_twt for winning ""Best Male Group"" at the #MAMA2022!",FALSE,0,NA,2022-12-04 21:42:32,FALSE,NA,"1599519549878980608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mietanaka121",406,TRUE,FALSE,NA,NA
"RT @votingbrigade: 🏆 | Congratulations @bts_twt for winning ""ARTIST OF THE YEAR' (DAESANG) at #MAMA2022! 🎊

70TH DAESANG UNLOCKED 💯",FALSE,0,NA,2022-12-04 21:41:19,FALSE,NA,"1599519240557510658",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mietanaka121",1480,TRUE,FALSE,NA,NA
"RT @AccademicWriter: HMU for high GPA 
#MAMA2022 #chainsawman #NCTDREAMTHEMOVIEInADREAM #Indigo #السعوديه_المسكيك https://t.co/jl7xByHPtL",FALSE,0,NA,2022-12-04 21:39:59,FALSE,NA,"1599518904182677505",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AccademicWriter",1,TRUE,FALSE,NA,NA
"#Believe in yourself and take action please..click link below:
https://t.co/pCDWXAXc8w

#SpotifyWrapped 
#MAMA2022… https://t.co/v9a1aeitMJ",FALSE,0,NA,2022-12-04 21:33:27,TRUE,NA,"1599517263778189312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TUKUHL",0,FALSE,FALSE,NA,NA
"RT @slothdrops: The cutie pie
#MAMA2022 #StrayKidsAt2022MAMA https://t.co/k68Tt6IWuc",FALSE,0,NA,2022-12-04 21:32:31,FALSE,NA,"1599517027919486976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","leni_rdz",211,TRUE,FALSE,NA,NA
"RT @ASAPAMAJOEL_: Please retweet... 😫🙏🙏🙏#CasanovaOpenVerse @DJXCLUSIVE #casanovaopenversechallengle #MAMA2022 https://t.co/yVlegFlRBb",FALSE,0,NA,2022-12-04 21:30:48,FALSE,NA,"1599516593935233024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jorojnr",2,TRUE,FALSE,NA,NA
"RT @ddia__ryy: GD gonna proud of his kids! Treasure literally keeps the honor of the YG family!! Thank you TREASURE! I cried because I feel…",FALSE,0,NA,2022-12-04 21:28:35,FALSE,NA,"1599516037501763585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LuneNatas",74,TRUE,FALSE,NA,NA
